ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
71,Ward 71,9,22.536421,88.340703,29922,1.04,28771.0,0.77,0.94,0.008,0.0098,1158,1113.0,6266,15550,14372,1577,1214,43,26081,3841,11790,10535,1255,10297,18132,12.84,4.78,39.4,5.27,4.2,60.6
72,Ward 72,8,22.528005,88.349336,19167,0.5777,33178.0,3.69,0.97,0.0213,0.0056,1019,1764.0,4306,10160,9007,995,1042,6,16366,2801,8488,7854,634,7605,10679,14.61,4.45,44.28,5.19,5.47,55.72
73,Ward 73,9,22.528926,88.343359,23512,0.5421,43372.0,2.93,0.0,0.0159,0.0,1009,1861.0,5260,12541,10971,1329,462,292,19805,3707,10093,8316,1777,8024,13419,15.77,4.47,42.93,5.65,3.21,57.07
74,Ward 74,9,22.527288,88.333626,42176,3.3487,12595.0,9.48,0.54,0.3173,0.018,1367,408.0,9189,24148,18028,2675,996,151,33404,8772,17467,15460,2007,15175,24709,20.8,4.59,41.41,6.34,2.72,58.59
75,Ward 75,9,22.546945,88.325945,26925,0.5631,47816.0,0.71,0.8,0.004,0.0045,489,868.0,5978,15370,11555,2605,619,37,19521,7404,12040,10202,1838,9932,14885,27.5,4.5,44.72,9.68,2.44,55.28
76,Ward 76,9,22.542199,88.322404,21946,0.4364,50289.0,3.67,0.0,0.016,0.0,641,1469.0,5052,11507,10439,1750,208,12,17853,4093,8122,7559,563,7491,13824,18.65,4.34,37.01,7.97,1.0,62.99
77,Ward 77,9,22.53734,88.32356,45984,0.4951,92878.0,0.48,0.42,0.0024,0.0021,922,1862.0,8829,24156,21828,4469,108,19,34807,11177,15785,13935,1850,13159,30199,24.31,5.21,34.33,9.72,0.28,65.67
78,Ward 78,9,22.531055,88.322656,54090,0.6822,79288.0,1.29,0.15,0.0088,0.001,792,1161.0,10637,28435,25655,5493,4237,126,40336,13754,18720,16335,2385,15545,35370,25.43,5.09,34.61,10.16,8.07,65.39
79,Ward 79,9,22.525843,88.316757,44303,2.932,15110.0,0.46,7.28,0.0135,0.2134,473,161.0,9235,24125,20178,4837,3389,270,32345,11958,15677,12848,2829,12630,28626,26.99,4.8,35.39,10.92,8.26,64.61
80,Ward 80,9,22.530148,88.299217,31094,9.0756,3426.0,0.53,10.56,0.0483,0.9585,842,93.0,7124,17364,13730,3610,3168,395,19758,11336,11148,9804,1344,9509,19946,36.46,4.36,35.85,11.61,11.46,64.15
81,Ward 81,10,22.510607,88.332207,41501,1.274,32575.0,0.57,0.0,0.0072,0.0,1863,1462.0,10211,21131,20370,2947,726,21,32823,8678,18812,17193,1619,16626,22689,20.91,4.06,45.33,7.1,1.8,54.67
82,Ward 82,9,22.516529,88.336667,38838,0.9264,41924.0,1.26,0.13,0.0117,0.0012,1265,1366.0,9994,19782,19056,2583,817,50,30753,8085,17357,14773,2584,14346,21481,20.82,3.89,44.69,6.65,2.23,55.31
83,Ward 83,8,22.520243,88.34336,22163,0.4812,46058.0,0.54,0.04,0.0026,0.0002,886,1841.0,5176,11113,11050,1171,42,0,17976,4187,9123,8405,718,8253,13040,18.89,4.28,41.16,5.28,0.19,58.84
84,Ward 84,8,22.520583,88.349337,19230,0.4651,41346.0,3.68,0.0,0.0171,0.0,956,2055.0,4420,9783,9447,1187,699,10,15464,3766,8629,7480,1149,7158,10601,19.58,4.35,44.87,6.17,3.69,55.13
85,Ward 85,8,22.521263,88.356663,29566,0.7146,41374.0,2.74,0.46,0.0196,0.0033,1176,1646.0,6402,15059,14507,1700,488,15,24576,4990,13157,11966,1191,11771,16409,16.88,4.62,44.5,5.75,1.7,55.5
86,Ward 86,8,22.520804,88.364163,19195,0.8882,21611.0,6.92,0.07,0.0615,0.0006,1372,1545.0,4921,9724,9471,1051,1284,78,16259,2936,8219,7089,1130,6908,10976,15.3,3.9,42.82,5.48,7.1,57.18
87,Ward 87,8,22.512696,88.349683,12675,0.7476,16954.0,33.51,0.0,0.2505,0.0,978,1308.0,3227,6285,6390,544,71,1,10950,1725,5391,4875,516,4723,7284,13.61,3.93,42.53,4.29,0.57,57.47
88,Ward 88,8,22.512563,88.343382,23672,0.4895,48360.0,0.53,0.0,0.0026,0.0,792,1618.0,6109,11996,11676,1651,364,12,18738,4934,10372,9548,824,9379,13300,20.84,3.87,43.82,6.97,1.59,56.18
89,Ward 89,10,22.504329,88.349387,22304,0.6988,31918.0,0.66,1.0,0.0046,0.007,1172,1677.0,5819,11395,10909,1334,692,25,19376,2928,10039,8024,2015,7683,12265,13.13,3.83,45.01,5.98,3.21,54.99
90,Ward 90,8,22.513503,88.363843,18857,1.146,16455.0,54.89,1.94,0.629,0.0222,984,859.0,4761,9255,9602,1131,1467,185,14997,3860,8399,7617,782,7212,10458,20.47,3.96,44.54,6.0,8.76,55.46
91,Ward 91,10,22.515507,88.3791,38450,1.0795,35618.0,1.36,5.1,0.0147,0.0551,2336,2164.0,9995,18967,19483,2167,1480,23,32861,5589,15962,14067,1895,13796,22488,14.54,3.85,41.51,5.64,3.91,58.49
92,Ward 92,10,22.505468,88.372901,36450,1.5754,23137.0,0.94,3.16,0.0148,0.0498,2745,1742.0,10177,17865,18585,1791,1065,45,32417,4033,14237,12716,1521,12465,22213,11.06,3.58,39.06,4.91,3.05,60.94
93,Ward 93,10,22.503185,88.360442,44364,1.8685,23743.0,2.12,2.91,0.0396,0.0544,3110,1664.0,11871,22176,22188,2798,1798,60,37950,6414,18701,16384,2317,15871,25663,14.46,3.74,42.15,6.31,4.19,57.85
94,Ward 94,10,22.495317,88.352236,27469,1.6719,16430.0,49.51,3.49,0.8278,0.0584,1470,879.0,7121,13918,13551,1847,1450,47,22831,4638,11527,10677,850,10575,15942,16.88,3.86,41.96,6.72,5.45,58.04
95,Ward 95,10,22.490457,88.362099,26737,1.0085,26512.0,2.22,0.79,0.0224,0.008,2673,2650.0,7651,13212,13525,1314,561,26,24306,2431,10208,8894,1314,8687,16529,9.09,3.49,38.18,4.91,2.2,61.82
96,Ward 96,10,22.490291,88.367748,31033,1.1272,27531.0,1.6,2.8,0.018,0.0316,3053,2708.0,8893,15357,15676,1488,453,69,28533,2500,11743,10663,1080,10455,19290,8.06,3.49,37.84,4.79,1.68,62.16
97,Ward 97,10,22.488427,88.346063,37199,1.9345,19229.0,25.83,0.75,0.4996,0.0146,2637,1363.0,10222,18613,18586,2073,1251,208,33230,3969,15205,12715,2490,12383,21994,10.67,3.64,40.87,5.57,3.92,59.13
98,Ward 98,10,22.479083,88.360236,31708,1.1617,27294.0,0.75,0.73,0.0087,0.0085,2598,2236.0,8904,15406,16302,1721,705,19,28859,2849,11890,10836,1054,10581,19818,8.99,3.56,37.5,5.43,2.28,62.5
99,Ward 99,10,22.481604,88.370146,26739,0.9105,29367.0,0.0,2.05,0.0,0.0187,2128,2337.0,7222,13305,13434,1519,745,271,24158,2581,10493,9283,1210,9063,16246,9.65,3.7,39.24,5.68,3.8,60.76
100,Ward 100,10,22.471409,88.370914,25507,1.4061,18140.0,0.95,1.29,0.0134,0.0182,2980,2119.0,7269,12386,13121,1341,324,72,23195,2312,9477,8270,1207,7989,16030,9.06,3.51,37.15,5.26,1.55,62.85
101,Ward 101,12,22.477393,88.382609,40208,1.6768,23979.0,0.91,3.17,0.0153,0.0531,3867,2306.0,10934,19831,20377,2526,2907,91,35933,4275,15311,13654,1657,13406,24897,10.63,3.68,38.08,6.28,7.46,61.92
102,Ward 102,12,22.489928,88.375575,21503,0.9856,21817.0,0.04,2.03,0.0004,0.02,1628,1652.0,5867,10624,10879,1321,880,16,18877,2626,8449,7311,1138,7096,13054,12.21,3.67,39.29,6.14,4.17,60.71
103,Ward 103,11,22.489584,88.384032,25428,0.9546,26637.0,0.04,1.93,0.0004,0.0184,2037,2134.0,7105,12499,12929,1363,3284,21,22806,2622,10255,8643,1612,8355,15173,10.31,3.58,40.33,5.36,13.0,59.67
104,Ward 104,11,22.49768,88.385022,33185,1.189,27910.0,0.64,1.09,0.0076,0.013,1913,1609.0,9224,16385,16800,1795,1108,21,30144,3041,12436,11170,1266,10961,20749,9.16,3.6,37.47,5.41,3.4,62.53
105,Ward 105,12,22.505288,88.381297,21267,0.6676,31856.0,0.73,4.46,0.0049,0.0298,882,1321.0,5639,10609,10658,1226,2725,10,18811,2456,8461,7524,937,7379,12806,11.55,3.77,39.78,5.76,12.86,60.22
106,Ward 106,12,22.504403,88.392651,40618,1.9118,21246.0,2.88,1.31,0.0551,0.0251,2892,1513.0,10558,20466,20152,2894,7653,59,35071,5547,16751,14249,2502,13819,23867,13.66,3.85,41.24,7.12,18.99,58.76
107,Ward 107,12,22.520242,88.39311,54260,2.7008,20090.0,5.14,2.39,0.1389,0.0645,4182,1548.0,13518,27977,26283,4129,7320,329,45146,9114,22045,19821,2224,19252,32215,16.8,4.01,40.63,7.61,14.1,59.37
108,Ward 108,12,22.51654,88.445047,64777,11.9464,5422.0,7.48,29.75,0.8939,3.5541,3249,272.0,15854,33428,31349,7204,20923,928,46487,18290,26447,22507,3940,21665,38330,28.24,4.09,40.83,11.12,33.73,59.17
